channel_id,channel_name
"1013650","###### / ######"
"1013649","NETFLIX ACTION 1"
"1013648","NETFLIX ACTION 2"
"1013646","NETFLIX DRAMA"
"1013645","NETFLIX ROMANCE"
"1013647","NETFLIX STAND-UP"
"1013643","NETFLIX STAND UP COMEDY"
"1013644","NETFLIX WAR"
"1013642","NETFLIX SCI-FI"
"1013640","NETFLIX HORROR"
"1013639","NETFLIX DOCUMENTARY"
"1013641","NETFLIX MUSIC"
"1013638","NETFLIX CRIME"
"1013636","NETFLIX ACTION"
"1013637","NETFLIX COMEDY"
"1013635","DISNEY+ ROMANCE"
"1013633","DISNEY+ NAT GEO"
"1013630","DISNEY+ COMEDY"
"1013631","DISNEY+ KIDS"
"1013632","DISNEY+ MARVEL"
"1013629","DISNEY+ CLASSIC"
"1013628","WAYANS BROS"
"1013625","HONEYMOONERS"
"1013624","DICK VAN DYKE"
"1013621","EXPLAINED"
"1013618","GUARDIANS OF THE GALAXY"
"1013612","THOR"
"1013609","GARDIANS OF THE GALAXY"
"1013607","ANIME TV"
"1013606","DR STRANGE"
"1013603","VAN DAMME"
"1013604","ANT-MAN"
"1013599","BRIDGET JONES DIARY"
"1013598","ANNABELLE"
"1013597","ALVIN"
"1013594","DIE HARD"
"1588428","24 HOURS IN POLICE CUSTODY"
"1013589","JURASSIC WORLD/PARK"
"1013588","TOMB RAIDER"
"1013585","MORTAL KOMBAT"
"1013581","RESIDENT EVIL"
"1013571","THE CROCODILE DUNDEE"
"1013572","STEP UP"
"1013567","THE HANGOVER"
"1013563","THE MAZE RUNNER"
"1013562","TERMINATOR"
"1013557","NETFLIX ADVENTURE"
"1013554","NETFLIX HISTORY"
"1013553","NETFLIX MYSTERY"
"1013552","NETFLIX TOP TEN"
"1013550","NETFLIX ASIAN"
"1013548","NETFLIX DUBBED"
"1013544","NETFLIX THRILLER"
"1013546","NETFLIX KIDS"
"1013543","NETFLIX WWE"
"1013541","DEKKOO"
"1013539","EROS"
"1013540","EPIX"
"1013535","NXT"
"1013534","REVRY"
"1013531","WAR MOVIES 1"
"1013529","WAR MOVIES 3"
"1013530","WAR MOVIES 2"
"1013527","CLASSIC WAR MOVIES 1"
"1013528","WAR MOVIES 4"
"1013524","WAR MOVIES 5"
"1013523","CLASSIC WAR MOVIES 2"
"1013520","80S MOVIES"
"1013517","STEVEN SEGAL"
"1013518","BRAD PITT"
"1013514","PIXAR CHANNEL"
"1013515","TOM HARDY COLLECTION"
"1013516","TOP MOVIES"
"1013513","DISCOVERY+ DOC 1"
"1013512","DISCOVERY+ DOC 2"
"1013511","DISCOVERY+ IMAX"
"1013508","HORROR CHANNEL"
"1013506","JET LI MOVIES"
"1013505","SYLVESTER STALLON"
"1013507","JAMES BOND 007"
"1013504","LIAM NESSON"
"1013503","JOHNNY DEPP"
"1013502","ARNOLD SCHWARZNEGGER"
"1013501","ADAM SANDLER"
"1013495","THE TRANSPORTER"
"1013492","THE HOBBIT"
"1013481","DISCOVERY+ DOCUMENTARY"
"1013479","THE HORROR CHANNEL"
"1013478","NETFLIX CHANNEL"
"1013477","HBO CHANNEL"
"1013476","SANTA CLAUS"
"1013475","A CHRISTMAS CAROL"
"1013469","COLUMBO MR PETER FALK"
"1013463","WILL FERRELL"
"1013464","24"
"1013454","THE FRESH PTINCE OF BEL AIR"
"1013444","MIKE AND MOLLY"
"1013427","NARCOS MEXICO"
"1013426","MONEY HEIST"
"1013409","JAMES BOND"
"1013411","EDDY MURPHY"
"1013408","JIM CARREY"
"1013406","STEVEN SEAGAL"
"1013405","ARNOLD SCHWARZENEGGER"
"1013404","AL PACINO"
"1013400","BRUCE LEE MOVIES"
"1013402","COMEDY MOVIES"
"1013401","THRILLER MOVIES"
"1013399","CRIME MOVIES"
"1013397","HORROR MOVIES"
"1013398","FAMILY MOVIES"
"1013396","WILL FERRELL MOVIES"
"1013395","BILLY THE EXTERMINATOR"
"1013392","STAR TREK MOVIES"
"1013391","SPORTS MOVIES"
"1013390","QUENTIN TARANTINO MOVIES"
